"name","genre"
"Johann Sebastian Bach","classical"
"Ludwig van Beethoven","classical"
"Frédéric Chopin","classical"
"Yo-Yo Ma","classical"
"Berliner Philharmoniker","classical"
"Wiener Philharmoniker","classical"
"Academy of St. Martin in the Fields","classical"
"Claude Debussy","classical"
"Olivia Belli","classical"
"Ludovico Einaudi","classical"
"London Philharmonic Orchestra","classical"
"Kyle McEvoy","classical"
"Lang Lang","classical"
"Antonio Vivaldi","classical"
"Herbert von Karajan","classical"
"Leonard Bernstein","classical"
"Andrea Bocelli","classical"
"Yiruma","classical"
"Sir Neville Marriner","classical"
"Pyotr Ilyich Tchaikovsky","classical"
"Philip Glass","classical"
"Gavin Luke","classical"
"Peter Cavallo","classical"
"Franz Schubert","classical"
"Ólafur Arnalds","classical"
"Erik Satie","classical"
"English Chamber Orchestra","classical"
"Howard Shore","classical"
"Daniel Barenboim","classical"
"Edvard Grieg","classical"
"Camille Saint-Saëns","classical"
"Franz Liszt","classical"
"Johannes Brahms","classical"
"Jean-Yves Thibaudet","classical"
"Sir Simon Rattle","classical"
"Joep Beving","classical"
"Jef Martens","classical"
"Glenn Gould","classical"
"Itzhak Perlman","classical"
"New York Philharmonic","classical"
"Sergei Rachmaninoff","classical"
"Franz Joseph Haydn","classical"
"George Frideric Handel","classical"
"Joe Hisaishi","classical"
"Johannes Bornlöf","classical"
"Alexandre Tharaud","classical"
"Víkingur Ólafsson","classical"
"Maurice Ravel","classical"
"Linkin Park","metal"
"Five Finger Death Punch","metal"
"Metallica","metal"
"Slipknot","metal"
"Disturbed","metal"
"Three Days Grace","metal"
"Breaking Benjamin","metal"
"Shinedown","metal"
"Avenged Sevenfold","metal"
"Ozzy Osbourne","metal"
"System Of A Down","metal"
"Nickelback","metal"
"Korn","metal"
"Red Hot Chili Peppers","metal"
"TOOL","metal"
"Godsmack","metal"
"Kid Rock","metal"
"Bon Jovi","metal"
"Hollywood Undead","metal"
"Guns N' Roses","metal"
"Mötley Crüe","metal"
"Papa Roach","metal"
"Theory of a Deadman","metal"
"Seether","metal"
"Rage Against The Machine","metal"
"Falling In Reverse","metal"
"3 Doors Down","metal"
"Alice In Chains","metal"
"Sabaton","metal"
"Marilyn Manson","metal"
"Black Sabbath","metal"
"Van Halen","metal"
"Limp Bizkit","metal"
"Foo Fighters","metal"
"Incubus","metal"
"Trivium","metal"
"Volbeat","metal"
"In This Moment","metal"
"Skillet","metal"
"Rammstein","metal"
"Pantera","metal"
"Evanescence","metal"
"Bad Wolves","metal"
"Stone Sour","metal"
"Staind","metal"
"Ghost","metal"
"Killswitch Engage","metal"
"Deftones","metal"
"Lamb of God","metal"
"Nine Inch Nails","metal"
"blink-182","punk"
"Green Day","punk"
"Fall Out Boy","punk"
"My Chemical Romance","punk"
"A Day To Remember","punk"
"Sublime","punk"
"Paramore","punk"
"Rise Against","punk"
"All Time Low","punk"
"The Offspring","punk"
"Falling In Reverse","punk"
"Cage The Elephant","punk"
"Sum 41","punk"
"Hayley Williams","punk"
"Pierce The Veil","punk"
"Talking Heads","punk"
"Neck Deep","punk"
